Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 NE;Naaierstraat;1;19;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NE;Naaierstraat;2;18;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NG;Naaierstraat;20;32;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NG;Naaierstraat;21;33;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NH;Aaltje Bakstraat;1;1;GOUDA                   ;A-1;onbekend;;;;;;;
2801 NH;Aaltje Bakstraat;2;20;GOUDA                   ;A-1;onbekend;;;;;;;
2801 NJ;Keizerstraat;1;51;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NK;Keizerstraat;53;105;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NL;Keizerstraat;2;60;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NM;Keizerstraat;62;106;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NN;Komijnsteeg;1;65;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NP;Komijnsteeg;2;50;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NR;Kuiperstraat;1;49;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NS;Kuiperstraat;2;48;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 NT;Gerrit Raesenerf;2;2;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PA;Dubbele Buurt;1;17;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PA;Dubbele Buurt;4;10;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PB;Oosthaven;1;9;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PB;Oosthaven;2;12;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PC;Oosthaven;13;25;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PC;Oosthaven;14;24;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PD;Oosthaven;28;36;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PD;Oosthaven;29;35;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PE;Oosthaven;37;59;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PE;Oosthaven;38;58;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PG;Oosthaven;60;72;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PG;Oosthaven;61;71;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PH;Westhaven;1;21;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PH;Westhaven;2;22;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PJ;Westhaven;23;31;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PJ;Westhaven;24;30;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PK;Westhaven;32;36;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PK;Westhaven;33;35;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PL;Westhaven;37;45;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PL;Westhaven;38;44;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PM;Westhaven;46;56;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PM;Westhaven;47;55;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PN;Westhaven;57;73;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PN;Westhaven;58;74;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PP;Molenwerf;1;9;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PP;Molenwerf;2;30;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PR;Willem Vroesenplein;1;19;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PR;Willem Vroesenplein;2;18;GOUDA                   ;A-1;onbekend;;;;;;;
2801 PS;Lange Noodgodsstraat;1;37;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PT;Walestraat;1;21;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PV;Walestraat;4;24;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PW;Doelenstraat;1;31;GOUDA                   ;A-3;onbekend;;;;;;;
2801 PX;Doelenstraat;2;32;GOUDA                   ;A-3;onbekend;;;;;;;
2801 PZ;Punt;1;19;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 PZ;Punt;2;8;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RA;Nieuwe Veerstal;1;15;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RB;Veerstal;2;32;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RB;Veerstal;7;13;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RC;Bogen;1;67;GOUDA                   ;A-1;onbekend;;;;;;;
2801 RD;Peperstraat;1;79;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RE;Peperstraat;2;56;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RG;Peperstraat;58;102;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RH;Zwaansgat;2;34;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RH;Zwaansgat;15;15;GOUDA                   ;A-2;T. Eilander;;;;;;;
